date,open,high,low,close
2022-12-20 03:37:00,1.06126,1.0617,1.06109,1.06162
2022-12-20 03:38:00,1.06161,1.0617,1.06144,1.06145
2022-12-20 03:39:00,1.06143,1.06154,1.06122,1.06127
2022-12-20 03:40:00,1.06127,1.0615,1.06109,1.06145
2022-12-20 03:41:00,1.06146,1.06167,1.06089,1.06093
2022-12-20 03:42:00,1.06092,1.06108,1.06086,1.061
2022-12-20 03:43:00,1.06098,1.06117,1.0609,1.06105
2022-12-20 03:44:00,1.06106,1.06112,1.06071,1.06071
2022-12-20 03:45:00,1.0607,1.06107,1.0607,1.06097
2022-12-20 03:46:00,1.06098,1.06098,1.06059,1.06071
2022-12-20 03:47:00,1.06071,1.06087,1.06051,1.06078
2022-12-20 03:48:00,1.0608,1.06115,1.06079,1.06109
2022-12-20 03:49:00,1.06109,1.0611,1.06089,1.06101
2022-12-20 03:50:00,1.06101,1.06128,1.06099,1.06104
2022-12-20 03:51:00,1.06104,1.06121,1.06075,1.0608
2022-12-20 03:52:00,1.0608,1.06089,1.06077,1.06083
2022-12-20 03:53:00,1.06084,1.0611,1.06058,1.06091
2022-12-20 03:54:00,1.0609,1.06103,1.06067,1.06081
2022-12-20 03:55:00,1.06081,1.06091,1.06068,1.06088
2022-12-20 03:56:00,1.06089,1.06097,1.06061,1.06063
2022-12-20 03:57:00,1.06063,1.06071,1.06054,1.06056
2022-12-20 03:58:00,1.06055,1.06067,1.06021,1.06066
2022-12-20 03:59:00,1.06066,1.06091,1.06066,1.06081
2022-12-20 04:00:00,1.06082,1.06123,1.06079,1.06123
2022-12-20 04:01:00,1.06123,1.06125,1.06094,1.06114
2022-12-20 04:02:00,1.06113,1.06113,1.06092,1.06104
2022-12-20 04:03:00,1.06106,1.06114,1.06097,1.0611
2022-12-20 04:04:00,1.06111,1.06114,1.06071,1.06078
2022-12-20 04:05:00,1.0608,1.06115,1.06078,1.06096
2022-12-20 04:06:00,1.06095,1.0611,1.06076,1.06078
2022-12-20 04:07:00,1.06079,1.06098,1.06058,1.06077
2022-12-20 04:08:00,1.06076,1.06086,1.06067,1.06072
2022-12-20 04:09:00,1.06073,1.06076,1.06049,1.06075
2022-12-20 04:10:00,1.06076,1.06082,1.06059,1.0608
2022-12-20 04:11:00,1.06082,1.06109,1.06072,1.061
2022-12-20 04:12:00,1.06099,1.06133,1.06098,1.06124
2022-12-20 04:13:00,1.06125,1.06126,1.06094,1.06097
2022-12-20 04:14:00,1.06097,1.06128,1.06094,1.06116
2022-12-20 04:15:00,1.06117,1.06147,1.06117,1.06144
2022-12-20 04:16:00,1.06143,1.06143,1.06109,1.06119
2022-12-20 04:17:00,1.06121,1.06123,1.06091,1.06101
2022-12-20 04:18:00,1.061,1.06114,1.06091,1.06103
2022-12-20 04:19:00,1.06102,1.06124,1.06099,1.06118
2022-12-20 04:20:00,1.06118,1.06141,1.06086,1.06115
2022-12-20 04:21:00,1.06116,1.06116,1.06076,1.0609
2022-12-20 04:22:00,1.06089,1.06111,1.06086,1.06108
2022-12-20 04:23:00,1.06108,1.0613,1.061,1.06127
2022-12-20 04:24:00,1.06128,1.06151,1.06121,1.06126
2022-12-20 04:25:00,1.06125,1.06143,1.06117,1.06124
2022-12-20 04:26:00,1.06123,1.06145,1.06106,1.06119
2022-12-20 04:27:00,1.06118,1.06123,1.06108,1.06114
2022-12-20 04:28:00,1.06113,1.06117,1.06073,1.06084
2022-12-20 04:29:00,1.06083,1.06083,1.06069,1.06074
2022-12-20 04:30:00,1.06074,1.06086,1.06047,1.06086
2022-12-20 04:31:00,1.06089,1.06101,1.06081,1.06083
2022-12-20 04:32:00,1.06081,1.06096,1.06073,1.06086
2022-12-20 04:33:00,1.06087,1.06091,1.06072,1.06091
2022-12-20 04:34:00,1.06091,1.06112,1.06086,1.06105
2022-12-20 04:35:00,1.06106,1.06109,1.0609,1.06094
2022-12-20 04:36:00,1.06095,1.06113,1.06094,1.06106
2022-12-20 04:37:00,1.06107,1.06113,1.06097,1.0611
2022-12-20 04:38:00,1.06109,1.06113,1.06104,1.06108
2022-12-20 04:39:00,1.06108,1.06157,1.06098,1.06152
2022-12-20 04:40:00,1.06152,1.06153,1.06118,1.06134
2022-12-20 04:41:00,1.06136,1.06152,1.06126,1.06142
2022-12-20 04:42:00,1.06142,1.06149,1.06124,1.0613
2022-12-20 04:43:00,1.06129,1.06138,1.06115,1.06122
2022-12-20 04:44:00,1.06123,1.06145,1.06116,1.0613
2022-12-20 04:45:00,1.06131,1.06133,1.06109,1.06115
2022-12-20 04:46:00,1.06113,1.06116,1.06093,1.06093
2022-12-20 04:47:00,1.06095,1.06095,1.06074,1.06081
2022-12-20 04:48:00,1.06085,1.06085,1.06052,1.06058
2022-12-20 04:49:00,1.0606,1.06069,1.06035,1.06042
2022-12-20 04:50:00,1.06041,1.06074,1.0604,1.06062
2022-12-20 04:51:00,1.06063,1.06063,1.06052,1.06058
2022-12-20 04:52:00,1.06057,1.06068,1.06055,1.06064
2022-12-20 04:53:00,1.06064,1.06076,1.06057,1.0607
2022-12-20 04:54:00,1.06069,1.06077,1.0604,1.06047
2022-12-20 04:55:00,1.0605,1.0607,1.06048,1.06053
2022-12-20 04:56:00,1.06054,1.06078,1.0605,1.06072
2022-12-20 04:57:00,1.06072,1.06083,1.06064,1.06074
2022-12-20 04:58:00,1.06077,1.06079,1.06058,1.06061
2022-12-20 04:59:00,1.06062,1.06081,1.06061,1.06071
2022-12-20 05:00:00,1.06071,1.06072,1.0606,1.06062
2022-12-20 05:01:00,1.06061,1.0608,1.06061,1.06078
2022-12-20 05:02:00,1.06078,1.06094,1.06074,1.06087
2022-12-20 05:03:00,1.06088,1.06095,1.06072,1.0608
